kw,counts,percentage
海报,19,0.1111111111111111
导演,15,0.08771929824561403
一星,12,0.07017543859649122
中国,12,0.07017543859649122
洞穴,11,0.06432748538011696
首部,8,0.04678362573099415
大片,8,0.04678362573099415
负分,6,0.03508771929824561
月经,6,0.03508771929824561
好看,6,0.03508771929824561
风景,5,0.029239766081871343
烂片,5,0.029239766081871343
..,5,0.029239766081871343
看过,4,0.023391812865497075
以为,4,0.023391812865497075
最美,4,0.023391812865497075
垃圾,4,0.023391812865497075
看到,4,0.023391812865497075
评论,3,0.017543859649122806
一分,3,0.017543859649122806
奇葩,3,0.017543859649122806
基本,3,0.017543859649122806
真是,3,0.017543859649122806
真的,3,0.017543859649122806
抗战,3,0.017543859649122806
你们,3,0.017543859649122806
冯导,3,0.017543859649122806
说出,2,0.011695906432748537
满分,2,0.011695906432748537
故事,2,0.011695906432748537
