kw,counts,percentage
剧情,1812,0.07756517272377039
故事,1655,0.07084457000984547
喜欢,1325,0.056718462394589275
最后,1321,0.05654723684773768
不错,1252,0.05359359616454775
好看,1005,0.043020418646462055
感觉,993,0.04250674200590728
真的,983,0.0420786781387783
导演,905,0.0387397799751723
有点,887,0.03796926501434014
完全,818,0.03501562433115021
不过,801,0.03428791575703095
虽然,743,0.03180514532768289
真是,678,0.029022730191344548
看过,672,0.028765891871067165
自己,669,0.02863747271092847
看到,668,0.028594666324215572
实在,626,0.026796798082273875
无聊,615,0.026325927828432003
结局,526,0.02251615941098412
情节,512,0.021916869997003555
不能,468,0.02003338898163606
系列,460,0.01969093788793288
结尾,455,0.019476905954368393
特效,437,0.018706390993536236
镜头,435,0.01862077822011044
很多,416,0.017807456872565387
一样,415,0.01776465048585249
非常,407,0.01742219939214931
科幻,402,0.01720816745858482
