kw,counts,percentage
喜欢,1455,0.0763058527375708
自己,1351,0.07085168869309838
最后,1131,0.05931403398363751
故事,1098,0.057583385777218374
经典,1061,0.05564296203062723
真的,853,0.0447346339416824
世界,747,0.03917558212712398
感觉,747,0.03917558212712398
好看,680,0.03566184182924271
看到,657,0.03445563247325362
生活,653,0.0342458569330816
剧情,607,0.03183343822110342
导演,547,0.02868680511852318
人生,505,0.026484161946717013
美国,505,0.026484161946717013
一样,489,0.025645059786028948
真是,475,0.024910845395426894
教父,472,0.02475351374029788
看过,469,0.02459618208516887
现在,465,0.024386406544996853
自由,442,0.02318019718900776
不过,439,0.02302286553387875
虽然,435,0.022813089993706733
感动,426,0.0223410950283197
结局,418,0.021921543947975665
如此,406,0.021292217327459617
完全,404,0.02118732955737361
小时,386,0.02024333962659954
实在,379,0.01987623243129851
爱情,366,0.01919446192573946
