kw,counts,percentage
喜欢,12838,0.08156911581569116
故事,11521,0.07320126057895138
最后,9295,0.05905786972323176
自己,9245,0.0587401834955651
剧情,7143,0.04538465448445879
感觉,6877,0.043694563753272166
真的,6649,0.04224591455511221
好看,5439,0.03455790784557908
看到,5370,0.03411950085139909
导演,5317,0.03378275345007243
经典,5165,0.03281698731796579
不过,4987,0.03168602434747249
真是,4987,0.03168602434747249
一样,4244,0.02696520700434595
有点,4215,0.026780948992299287
虽然,4144,0.02632983454901263
非常,4117,0.026158283986072634
不错,4067,0.025840597758405977
完全,3886,0.024690573614252673
现在,3772,0.023966249015172695
世界,3737,0.023743868655806032
实在,3676,0.02335629145805271
生活,3523,0.022384171601392736
美国,3516,0.022339695529519404
结局,3452,0.021933057158106083
看过,3444,0.021882227361679416
爱情,3371,0.021418405469286094
很多,3287,0.02088469260680611
他们,3129,0.01988080412737947
不能,2975,0.018902330546166163
