kw,counts,percentage
喜欢,8850,0.07976494128038504
故事,6795,0.06124325152544817
剧情,6651,0.059945381294445294
最后,5905,0.05322169245883318
不错,5123,0.046173536065470346
感觉,4971,0.04480356193274509
好看,4647,0.04188335391298861
真的,4527,0.04080179538715289
自己,4106,0.03700732755901254
真是,3928,0.03540301574568954
不过,3800,0.03424935331813143
有点,3737,0.03368153509206767
导演,3550,0.03199610638930699
虽然,3258,0.02936431397644005
看到,3176,0.028625248983785635
看过,3028,0.02729132680192157
经典,3000,0.02703896314589323
现在,2929,0.026399041018107094
完全,2877,0.02593036565691161
爱情,2643,0.023821326531531937
实在,2630,0.023704157691233067
无聊,2592,0.023361664158051753
情节,2574,0.02319943037917639
美国,2511,0.022631612153112636
结局,2456,0.022135897828771258
非常,2376,0.02141485881154744
一样,2228,0.020080936629683372
结尾,2134,0.019233715784445386
镜头,2023,0.018233274148047336
很多,1926,0.017359014339663456
