kw,counts,percentage
烂片,21,0.10194174757281553
完全,12,0.05825242718446602
海报,11,0.05339805825242718
真的,10,0.04854368932038835
演员,9,0.043689320388349516
海涛,9,0.043689320388349516
垃圾,9,0.043689320388349516
真是,9,0.043689320388349516
看到,8,0.038834951456310676
导演,8,0.038834951456310676
男人,7,0.03398058252427184
混乱,7,0.03398058252427184
最后,6,0.02912621359223301
任何,6,0.02912621359223301
感觉,6,0.02912621359223301
制作,5,0.024271844660194174
实在,5,0.024271844660194174
小时,5,0.024271844660194174
无聊,5,0.024271844660194174
尼玛,5,0.024271844660194174
看过,5,0.024271844660194174
剧情,5,0.024271844660194174
居然,5,0.024271844660194174
水军,4,0.019417475728155338
现在,4,0.019417475728155338
不能,4,0.019417475728155338
不过,4,0.019417475728155338
东西,4,0.019417475728155338
你们,4,0.019417475728155338
好看,4,0.019417475728155338
