kw,counts,percentage
剧情,546,0.08927403531720078
故事,382,0.06245912361020275
不错,369,0.060333551340745584
好看,311,0.05085022890778287
最后,304,0.04970568999345978
喜欢,291,0.04758011772400261
真的,252,0.041203400915631135
感觉,244,0.03989535644211903
有点,244,0.03989535644211903
特效,199,0.032537606278613476
真是,194,0.03172007848266841
完全,194,0.03172007848266841
导演,191,0.031229561805101374
结局,187,0.030575539568345324
自己,187,0.030575539568345324
看到,183,0.029921517331589275
无聊,177,0.0289404839764552
系列,172,0.028122956180510136
烂片,152,0.02485284499672989
不过,148,0.02419882275997384
虽然,144,0.02354480052321779
情节,138,0.022563767168083716
各种,126,0.020601700457815567
一样,122,0.019947678221059514
很多,114,0.018639633747547416
实在,113,0.018476128188358403
题材,111,0.01814911706998038
演员,109,0.017822105951602354
不能,106,0.017331589274035317
为了,106,0.017331589274035317
